hpt_res,features,best_model,search_method,error_method,idx
"{'arima': ({'p': 4, 'd': 1, 'q': 1}, 0.209038002387494), 'holtwinters': ({'seasonal_periods': 4, 'trend': 'additive', 'damped': False, 'seasonal': 'additive'}, 0.22690768344834264), 'prophet': ({'seasonality_prior_scale': 4.6415888336127775, 'changepoint_prior_scale': 0.1, 'changepoint_range': 0.8200000000000001, 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': False, 'seasonality_mode': 'additive'}, 0.21128735144537295), 'theta': ({'m': 25}, 0.21340949030188944), 'stlf': ({'m': 4, 'method': 'quadratic'}, 0.1816418176408454), 'sarima': ({'p': 3, 'd': 1, 'q': 1, 'seasonal_order': '(0, 1, 1, 7)', 'trend': 't'}, 0.21511617856752824)}","{'length': 68, 'mean': 0.5030376084860173, 'var': 0.023313251079396937, 'entropy': 0.8761129448104684, 'lumpiness': 8.531246105198003e-05, 'stability': 0.00044242255449059866, 'flat_spots': 1, 'hurst': -0.00838330511094045, 'std1st_der': 0.11576544970008233, 'crossing_points': 29, 'binarize_mean': 0.5147058823529411, 'unitroot_kpss': 0.03058252171081498, 'heterogeneity': 11.699333652310768, 'histogram_mode': 0.5239344262295083, 'linearity': 0.007233916319338837, 'trend_strength': 0.28887970672845575, 'seasonality_strength': 0.29905210786588166, 'spikiness': 1.1085946356978301e-07, 'peak': 1, 'trough': 6, 'level_shift_idx': 34, 'level_shift_size': 0.028524590163934327, 'y_acf1': 0.09930991506529191, 'y_acf5': 0.028875851980771132, 'diff1y_acf1': -0.3878656348820239, 'diff1y_acf5': 0.1731863220410272, 'diff2y_acf1': -0.602950453212533, 'diff2y_acf5': 0.3856163094212428, 'y_pacf5': 0.030360957656917723, 'diff1y_pacf5': 0.35685857960479733, 'diff2y_pacf5': 0.9745302177501641, 'seas_acf1': -0.20446112419556714, 'seas_pacf1': -0.21835401550501377, 'firstmin_ac': 3, 'firstzero_ac': 2, 'holt_alpha': 0.0008588367880321259, 'holt_beta': 0.0008588289907250915, 'hw_alpha': 0.10526315789473684, 'hw_beta': 0.10526315789473684, 'hw_gamma': 0.15789473684210525}",stlf,RandomSearch,mape,N1412
"{'arima': ({'p': 3, 'd': 2, 'q': 3}, 5.488214914386895), 'holtwinters': ({'seasonal_periods': 14, 'trend': 'multiplicative', 'damped': False, 'seasonal': 'additive'}, 3.5594731348116295), 'prophet': ({'seasonality_prior_scale': 2.154434690031882, 'changepoint_prior_scale': 0.01, 'changepoint_range': 0.8500000000000001, 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': False, 'seasonality_mode': 'additive'}, 3.4531742996038584), 'theta': ({'m': 3}, 2.747834208234927), 'stlf': ({'m': 4, 'method': 'quadratic'}, 1.3667558403037265), 'sarima': ({'p': 3, 'd': 2, 'q': 3, 'seasonal_order': '(1, 1, 1, 7)', 'trend': 'n'}, 2.220587012019312)}","{'length': 68, 'mean': 0.2805492362690932, 'var': 0.07096792418912307, 'entropy': 0.8468474822273091, 'lumpiness': 0.00048646206500522116, 'stability': 0.001712709030665524, 'flat_spots': 2, 'hurst': -0.0031297385668830973, 'std1st_der': 0.18053317297514745, 'crossing_points': 40, 'binarize_mean': 0.4117647058823529, 'unitroot_kpss': 0.046927008856877304, 'heterogeneity': 14.582618564035977, 'histogram_mode': 0.0066298342541436465, 'linearity': 0.006798355560742788, 'trend_strength': 0.21797600615975454, 'seasonality_strength': 0.5041749256514523, 'spikiness': 4.2281434535401726e-07, 'peak': 3, 'trough': 0, 'level_shift_idx': 1, 'level_shift_size': 0.04027624309392264, 'y_acf1': -0.3116409395143154, 'y_acf5': 0.27249658246836844, 'diff1y_acf1': -0.7194904849151496, 'diff1y_acf5': 0.9115903190018839, 'diff2y_acf1': -0.8228888550430506, 'diff2y_acf5': 1.2632226329685525, 'y_pacf5': 0.18532555926134292, 'diff1y_pacf5': 0.7678100573259684, 'diff2y_pacf5': 1.1284230662030998, 'seas_acf1': 0.13345877879548362, 'seas_pacf1': 0.09363310220448738, 'firstmin_ac': 1, 'firstzero_ac': 3, 'holt_alpha': 0.057127541515005514, 'holt_beta': 0.057127541198932895, 'hw_alpha': 0.05263157894736842, 'hw_beta': 0.05263157894736842, 'hw_gamma': 0.631578947368421}",stlf,RandomSearch,mape,N1413
"{'arima': ({'p': 5, 'd': 1, 'q': 2}, 0.34277770317336775), 'holtwinters': ({'seasonal_periods': 4, 'trend': 'additive', 'damped': True, 'seasonal': 'multiplicative'}, 0.3625800768718536), 'prophet': ({'seasonality_prior_scale': 0.21544346900318834, 'changepoint_prior_scale': 1.0, 'changepoint_range': 0.8700000000000001, 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': True, 'seasonality_mode': 'additive'}, 0.3731155350309135), 'theta': ({'m': 30}, 0.39289661332921916), 'stlf': ({'m': 24, 'method': 'quadratic'}, 0.36162186138310287), 'sarima': ({'p': 4, 'd': 1, 'q': 3, 'seasonal_order': '(1, 0, 2, 7)', 'trend': 'ct'}, 0.32253996414168584)}","{'length': 68, 'mean': 0.36414944356120843, 'var': 0.036200665502311435, 'entropy': 0.875601732123461, 'lumpiness': 4.617801720108736e-05, 'stability': 0.0010620423565808393, 'flat_spots': 1, 'hurst': -0.02266072731309897, 'std1st_der': 0.144367386390432, 'crossing_points': 34, 'binarize_mean': 0.39705882352941174, 'unitroot_kpss': 0.05122746053065062, 'heterogeneity': 4.917788742226531, 'histogram_mode': 0.1535135135135135, 'linearity': 0.0015016228988110436, 'trend_strength': 0.1875062311472816, 'seasonality_strength': 0.29921936597569143, 'spikiness': 1.6692099437888924e-07, 'peak': 4, 'trough': 0, 'level_shift_idx': 46, 'level_shift_size': 0.034054054054054095, 'y_acf1': -0.03270110251192233, 'y_acf5': 0.05358863248538818, 'diff1y_acf1': -0.5141085336355593, 'diff1y_acf5': 0.3749264163811047, 'diff2y_acf1': -0.7004896808325211, 'diff2y_acf5': 0.7518944881334226, 'y_pacf5': 0.05868708966340529, 'diff1y_pacf5': 0.48975140853870375, 'diff2y_pacf5': 0.8639169962532856, 'seas_acf1': -0.04286522874555209, 'seas_pacf1': -0.05597302513969945, 'firstmin_ac': 1, 'firstzero_ac': 3, 'holt_alpha': 0.13443033060387208, 'holt_beta': 0.1344303294089247, 'hw_alpha': 0.05263157894736842, 'hw_beta': 0.05263157894736842, 'hw_gamma': 0.2631578947368421}",sarima,RandomSearch,mape,N1414
"{'arima': ({'p': 3, 'd': 2, 'q': 1}, 0.6310997925162328), 'holtwinters': ({'seasonal_periods': 10, 'trend': 'multiplicative', 'damped': True, 'seasonal': 'additive'}, 0.733998486659219), 'prophet': ({'seasonality_prior_scale': 2.154434690031882, 'changepoint_prior_scale': 0.1, 'changepoint_range': 0.8600000000000001, 'yearly_seasonality': False, 'weekly_seasonality': True, 'daily_seasonality': False, 'seasonality_mode': 'multiplicative'}, 0.7815875109952736), 'theta': ({'m': 28}, 0.7953706151413472), 'stlf': ({'m': 7, 'method': 'prophet'}, 0.5739338188170554), 'sarima': ({'p': 5, 'd': 2, 'q': 4, 'seasonal_order': '(1, 1, 1, 7)', 'trend': 'c'}, 0.5835424781128973)}","{'length': 68, 'mean': 0.4152249134948096, 'var': 0.04273021034182042, 'entropy': 0.8652771099695626, 'lumpiness': 5.887311559889846e-05, 'stability': 0.0011756483582645366, 'flat_spots': 1, 'hurst': -0.00683374612041193, 'std1st_der': 0.14667162039166615, 'crossing_points': 34, 'binarize_mean': 0.4264705882352941, 'unitroot_kpss': 0.0351293392259312, 'heterogeneity': 8.62007204032704, 'histogram_mode': 0.2605042016806723, 'linearity': 0.014843303119819205, 'trend_strength': 0.2947324527617746, 'seasonality_strength': 0.326910690696808, 'spikiness': 2.9391220462703516e-07, 'peak': 1, 'trough': 2, 'level_shift_idx': 46, 'level_shift_size': 0.03382352941176464, 'y_acf1': -0.13348975352047387, 'y_acf5': 0.09470099059365694, 'diff1y_acf1': -0.643239245350115, 'diff1y_acf5': 0.5029141461748455, 'diff2y_acf1': -0.7566911696051579, 'diff2y_acf5': 0.7359809258441807, 'y_pacf5': 0.11323481237455679, 'diff1y_pacf5': 0.5326592891312175, 'diff2y_pacf5': 0.9477480545063367, 'seas_acf1': -0.12905735533469795, 'seas_pacf1': -0.15909987242023713, 'firstmin_ac': 1, 'firstzero_ac': 3, 'holt_alpha': 0.07181969624128536, 'holt_beta': 0.07181968836820238, 'hw_alpha': 0.05263157894736842, 'hw_beta': 0.05263157894736842, 'hw_gamma': 0.21052631578947367}",stlf,RandomSearch,mape,N1415
"{'arima': ({'p': 1, 'd': 2, 'q': 1}, 0.5076882252652919), 'holtwinters': ({'seasonal_periods': 24, 'trend': 'additive', 'damped': True, 'seasonal': 'additive'}, 0.5708993726500097), 'prophet': ({'seasonality_prior_scale': 0.021544346900318832, 'changepoint_prior_scale': 0.001, 'changepoint_range': 0.9200000000000002, 'yearly_seasonality': False, 'weekly_seasonality': True, 'daily_seasonality': True, 'seasonality_mode': 'multiplicative'}, 0.5354806675492327), 'theta': ({'m': 1}, 0.5459754470977639), 'stlf': ({'m': 30, 'method': 'linear'}, 0.5639715041660175), 'sarima': ({'p': 1, 'd': 2, 'q': 3, 'seasonal_order': '(1, 0, 1, 7)', 'trend': 'n'}, 0.46487948331671036)}","{'length': 68, 'mean': 0.28890835330997605, 'var': 0.02151396562248153, 'entropy': 0.8539544151977527, 'lumpiness': 0.00010932003292850776, 'stability': 0.0003172059580952444, 'flat_spots': 1, 'hurst': -0.029192587677829066, 'std1st_der': 0.09675805141944148, 'crossing_points': 36, 'binarize_mean': 0.45588235294117646, 'unitroot_kpss': 0.04556495965648084, 'heterogeneity': 5.1577903308692985, 'histogram_mode': 0.24263322884012542, 'linearity': 0.014952933536556108, 'trend_strength': 0.39023360070531765, 'seasonality_strength': 0.4922094658492423, 'spikiness': 3.9022310644205644e-08, 'peak': 4, 'trough': 0, 'level_shift_idx': 4, 'level_shift_size': 0.03354231974921629, 'y_acf1': -0.02424290115447833, 'y_acf5': 0.05888999137524244, 'diff1y_acf1': -0.5947476010558729, 'diff1y_acf5': 0.3946719551946148, 'diff2y_acf1': -0.7313674396881464, 'diff2y_acf5': 0.614471480267295, 'y_pacf5': 0.08307998676764751, 'diff1y_pacf5': 0.4852361108170234, 'diff2y_pacf5': 1.4353729901779073, 'seas_acf1': -0.11462912190118847, 'seas_pacf1': -0.09573091591161592, 'firstmin_ac': 1, 'firstzero_ac': 4, 'holt_alpha': 0.00029951244489072586, 'holt_beta': 0.0002995104106966375, 'hw_alpha': 0.05263157894736842, 'hw_beta': 0.05263157894736842, 'hw_gamma': 0.3684210526315789}",sarima,RandomSearch,mape,N1416
"{'arima': ({'p': 3, 'd': 1, 'q': 4}, 0.6179264693714993), 'holtwinters': ({'seasonal_periods': 24, 'trend': 'additive', 'damped': True, 'seasonal': 'additive'}, 0.6644207037947375), 'prophet': ({'seasonality_prior_scale': 0.01, 'changepoint_prior_scale': 0.021544346900318832, 'changepoint_range': 0.8300000000000001, 'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': True, 'seasonality_mode': 'multiplicative'}, 0.8292537918783986), 'theta': ({'m': 12}, 0.8243939841112692), 'stlf': ({'m': 24, 'method': 'prophet'}, 0.8829323090815905), 'sarima': ({'p': 2, 'd': 2, 'q': 2, 'seasonal_order': '(2, 0, 2, 7)', 'trend': 'ct'}, 0.7644936997902255)}","{'length': 68, 'mean': 0.21568627450980388, 'var': 0.020040068848667922, 'entropy': 0.9035046346760242, 'lumpiness': 0.00018880526648725317, 'stability': 0.0009925538842988169, 'flat_spots': 2, 'hurst': -0.005806618593882459, 'std1st_der': 0.09052116232467386, 'crossing_points': 29, 'binarize_mean': 0.36764705882352944, 'unitroot_kpss': 0.07239419439622956, 'heterogeneity': 12.26762432484632, 'histogram_mode': 0.13979591836734695, 'linearity': 0.010688660665959991, 'trend_strength': 0.4513984238062848, 'seasonality_strength': 0.5775056346122226, 'spikiness': 2.6382275436314505e-08, 'peak': 4, 'trough': 6, 'level_shift_idx': 4, 'level_shift_size': 0.0380952380952381, 'y_acf1': 0.05833194382704934, 'y_acf5': 0.0375987232121849, 'diff1y_acf1': -0.5662131241669998, 'diff1y_acf5': 0.37379811785547357, 'diff2y_acf1': -0.7370451731421472, 'diff2y_acf5': 0.6850534210718451, 'y_pacf5': 0.040868506837209384, 'diff1y_pacf5': 0.4541002044906703, 'diff2y_pacf5': 1.2825300574071008, 'seas_acf1': -0.038217650619249775, 'seas_pacf1': -0.028435400334460986, 'firstmin_ac': 1, 'firstzero_ac': 3, 'holt_alpha': 4.12335528372886e-09, 'holt_beta': 0.0, 'hw_alpha': 0.05263157894736842, 'hw_beta': 0.05263157894736842, 'hw_gamma': 0.3684210526315789}",arima,RandomSearch,mape,N1417
"{'arima': ({'p': 2, 'd': 2, 'q': 4}, 0.4591735015538711), 'holtwinters': ({'seasonal_periods': 24, 'trend': 'additive', 'damped': True, 'seasonal': 'additive'}, 0.4826703059978787), 'prophet': ({'seasonality_prior_scale': 0.46415888336127775, 'changepoint_prior_scale': 0.001, 'changepoint_range': 0.81, 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': True, 'seasonality_mode': 'multiplicative'}, 0.4689383634223412), 'theta': ({'m': 17}, 0.46353606086752314), 'stlf': ({'m': 24, 'method': 'theta'}, 0.42606135485731617), 'sarima': ({'p': 4, 'd': 1, 'q': 2, 'seasonal_order': '(1, 0, 2, 7)', 'trend': 'n'}, 0.5287298838185011)}","{'length': 68, 'mean': 0.42998721227621484, 'var': 0.030275291730169216, 'entropy': 0.8659026759068454, 'lumpiness': 0.00021451012875605923, 'stability': 0.0019355372806300313, 'flat_spots': 2, 'hurst': -0.03633786883482392, 'std1st_der': 0.12833022389707657, 'crossing_points': 29, 'binarize_mean': 0.5, 'unitroot_kpss': 0.05017757551990614, 'heterogeneity': 9.641860030943008, 'histogram_mode': 0.41565217391304354, 'linearity': 0.07453486834872328, 'trend_strength': 0.3621293865383004, 'seasonality_strength': 0.38943501512892287, 'spikiness': 1.2047113963552095e-07, 'peak': 0, 'trough': 1, 'level_shift_idx': 31, 'level_shift_size': 0.03391304347826085, 'y_acf1': 0.07876041818090018, 'y_acf5': 0.04343933176804314, 'diff1y_acf1': -0.46869288969987954, 'diff1y_acf5': 0.257412800981806, 'diff2y_acf1': -0.6151132640621589, 'diff2y_acf5': 0.4012063790745605, 'y_pacf5': 0.04821380322641332, 'diff1y_pacf5': 0.4368252446429857, 'diff2y_pacf5': 1.0379621721089236, 'seas_acf1': -0.08014230856045644, 'seas_pacf1': -0.07005981817219728, 'firstmin_ac': 2, 'firstzero_ac': 5, 'holt_alpha': 6.490050568538135e-05, 'holt_beta': 6.489560729095452e-05, 'hw_alpha': 0.10526315789473684, 'hw_beta': 0.10526315789473684, 'hw_gamma': 0.3157894736842105}",stlf,RandomSearch,mape,N1418
"{'arima': ({'p': 5, 'd': 2, 'q': 1}, 0.25027067846535356), 'holtwinters': ({'seasonal_periods': 7, 'trend': 'multiplicative', 'damped': True, 'seasonal': 'additive'}, 0.2609169153320532), 'prophet': ({'seasonality_prior_scale': 0.01, 'changepoint_prior_scale': 0.46415888336127775, 'changepoint_range': 0.9400000000000002, 'yearly_seasonality': False, 'weekly_seasonality': True, 'daily_seasonality': False, 'seasonality_mode': 'multiplicative'}, 0.26624044306284267), 'theta': ({'m': 3}, 0.267888826357857), 'stlf': ({'m': 30, 'method': 'theta'}, 0.29829797144073095), 'sarima': ({'p': 4, 'd': 1, 'q': 5, 'seasonal_order': '(1, 0, 1, 7)', 'trend': 'ct'}, 0.26017363514148467)}","{'length': 68, 'mean': 0.42476060191518467, 'var': 0.028483085404810614, 'entropy': 0.8812710016009121, 'lumpiness': 4.2843178172565585e-05, 'stability': 0.004272860481958829, 'flat_spots': 2, 'hurst': -0.015375175245275619, 'std1st_der': 0.11160015816152806, 'crossing_points': 29, 'binarize_mean': 0.4117647058823529, 'unitroot_kpss': 0.06672684185575997, 'heterogeneity': 5.309404120957906, 'histogram_mode': 0.3116279069767442, 'linearity': 0.11509347481748655, 'trend_strength': 0.4375813493361004, 'seasonality_strength': 0.41032893955477756, 'spikiness': 1.2571325165865527e-07, 'peak': 5, 'trough': 0, 'level_shift_idx': 12, 'level_shift_size': 0.0430232558139535, 'y_acf1': 0.04326158938797674, 'y_acf5': 0.11591455999563126, 'diff1y_acf1': -0.5796988091450541, 'diff1y_acf5': 0.4499107588900653, 'diff2y_acf1': -0.7062744561430049, 'diff2y_acf5': 0.6492099678221922, 'y_pacf5': 0.13111910880166505, 'diff1y_pacf5': 0.5307214982679674, 'diff2y_pacf5': 1.1454450461831758, 'seas_acf1': 0.02041953589306817, 'seas_pacf1': 0.07016402443445897, 'firstmin_ac': 1, 'firstzero_ac': 4, 'holt_alpha': 0.03631956111954516, 'holt_beta': 0.03631955944502574, 'hw_alpha': 0.2862459643458482, 'hw_beta': 0.0, 'hw_gamma': 0.363336622059098}",arima,RandomSearch,mape,N1419
"{'arima': ({'p': 4, 'd': 1, 'q': 4}, 0.24661138154167825), 'holtwinters': ({'seasonal_periods': 7, 'trend': 'additive', 'damped': True, 'seasonal': 'multiplicative'}, 0.258543982245311), 'prophet': ({'seasonality_prior_scale': 4.6415888336127775, 'changepoint_prior_scale': 0.1, 'changepoint_range': 0.8900000000000001, 'yearly_seasonality': False, 'weekly_seasonality': True, 'daily_seasonality': False, 'seasonality_mode': 'additive'}, 0.28565388756827775), 'theta': ({'m': 8}, 0.3052761308374106), 'stlf': ({'m': 7, 'method': 'linear'}, 0.2743877996904752), 'sarima': ({'p': 5, 'd': 1, 'q': 1, 'seasonal_order': '(1, 1, 1, 7)', 'trend': 'n'}, 0.2673208466048163)}","{'length': 69, 'mean': 0.507149110008754, 'var': 0.031203031409173455, 'entropy': 0.7979027403563186, 'lumpiness': 8.486192760597224e-05, 'stability': 0.008976316038102429, 'flat_spots': 1, 'hurst': 0.03196511698057416, 'std1st_der': 0.10362450666000124, 'crossing_points': 27, 'binarize_mean': 0.463768115942029, 'unitroot_kpss': 0.1554237574299843, 'heterogeneity': 12.872966337439404, 'histogram_mode': 0.3395973154362416, 'linearity': 0.2072696708684494, 'trend_strength': 0.6332272138711925, 'seasonality_strength': 0.5359035792179738, 'spikiness': 2.720901572551821e-08, 'peak': 2, 'trough': 3, 'level_shift_idx': 11, 'level_shift_size': 0.034563758389261734, 'y_acf1': 0.3016453444262136, 'y_acf5': 0.27492272919488125, 'diff1y_acf1': -0.528167017187651, 'diff1y_acf5': 0.3453058225589145, 'diff2y_acf1': -0.7089193012993842, 'diff2y_acf5': 0.6544325864976643, 'y_pacf5': 0.17628809729018624, 'diff1y_pacf5': 0.4288732766445047, 'diff2y_pacf5': 0.9824371050743982, 'seas_acf1': 0.289362843301465, 'seas_pacf1': 0.2853040731541158, 'firstmin_ac': 1, 'firstzero_ac': 18, 'holt_alpha': 0.140208070604258, 'holt_beta': 0.0, 'hw_alpha': 0.1850902260455604, 'hw_beta': 5.807013029496248e-17, 'hw_gamma': 0.0}",arima,RandomSearch,mape,N1420
"{'arima': ({'p': 1, 'd': 1, 'q': 2}, 0.2513327410353983), 'holtwinters': ({'seasonal_periods': 14, 'trend': 'multiplicative', 'damped': True, 'seasonal': 'multiplicative'}, 0.21239707133625327), 'prophet': ({'seasonality_prior_scale': 0.1, 'changepoint_prior_scale': 0.001, 'changepoint_range': 0.81, 'yearly_seasonality': True, 'weekly_seasonality': True, 'daily_seasonality': False, 'seasonality_mode': 'multiplicative'}, 0.21961839722061338), 'theta': ({'m': 2}, 0.246791257753338), 'stlf': ({'m': 4, 'method': 'linear'}, 0.22287856395558034), 'sarima': ({'p': 4, 'd': 2, 'q': 5, 'seasonal_order': '(2, 0, 2, 7)', 'trend': 'c'}, 0.257544749659144)}","{'length': 69, 'mean': 0.4339415113871637, 'var': 0.020808250442584098, 'entropy': 0.7681902970286268, 'lumpiness': 7.246078344736173e-05, 'stability': 0.008633896139133755, 'flat_spots': 1, 'hurst': -0.03252867924728271, 'std1st_der': 0.07867669075229933, 'crossing_points': 25, 'binarize_mean': 0.42028985507246375, 'unitroot_kpss': 0.06679964736774417, 'heterogeneity': 23.19997385233101, 'histogram_mode': 0.33571428571428574, 'linearity': 0.44633659265542563, 'trend_strength': 0.7087371891048703, 'seasonality_strength': 0.4630148493971564, 'spikiness': 1.866289663508743e-08, 'peak': 6, 'trough': 3, 'level_shift_idx': 6, 'level_shift_size': 0.02857142857142858, 'y_acf1': 0.42324097323999355, 'y_acf5': 0.832503955537052, 'diff1y_acf1': -0.48661097842343537, 'diff1y_acf5': 0.4706413713477113, 'diff2y_acf1': -0.608162879244695, 'diff2y_acf5': 0.6256977319062121, 'y_pacf5': 0.45864544843129385, 'diff1y_pacf5': 0.5980047883678661, 'diff2y_pacf5': 1.3131810701233941, 'seas_acf1': 0.2797871417993797, 'seas_pacf1': 0.05779903758867012, 'firstmin_ac': 2, 'firstzero_ac': 23, 'holt_alpha': 0.1117386116697055, 'holt_beta': 0.04561582569188885, 'hw_alpha': 0.340416272365916, 'hw_beta': 0.0, 'hw_gamma': 0.0}",holtwinters,RandomSearch,mape,N1421
"{'arima': ({'p': 1, 'd': 1, 'q': 2}, 0.22509989831644125), 'holtwinters': ({'seasonal_periods': 10, 'trend': 'multiplicative', 'damped': False, 'seasonal': 'multiplicative'}, 0.3358652440890329), 'prophet': ({'seasonality_prior_scale': 0.021544346900318832, 'changepoint_prior_scale': 0.046415888336127774, 'changepoint_range': 0.8700000000000001, 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': True, 'seasonality_mode': 'multiplicative'}, 0.23607571541143754), 'theta': ({'m': 11}, 0.3719053983260693), 'stlf': ({'m': 24, 'method': 'quadratic'}, 0.26155899619842876), 'sarima': ({'p': 2, 'd': 2, 'q': 4, 'seasonal_order': '(1, 1, 1, 7)', 'trend': 'n'}, 0.24217000467529867)}","{'length': 69, 'mean': 0.4610232762406673, 'var': 0.04097509243009617, 'entropy': 0.7446823695376388, 'lumpiness': 7.047603602116239e-05, 'stability': 0.021354222014042537, 'flat_spots': 2, 'hurst': 0.00042353119508375654, 'std1st_der': 0.09907841763453987, 'crossing_points': 22, 'binarize_mean': 0.42028985507246375, 'unitroot_kpss': 0.045143832588983704, 'heterogeneity': 27.599675635213202, 'histogram_mode': 0.32727272727272727, 'linearity': 0.5034122581708123, 'trend_strength': 0.7172489049648423, 'seasonality_strength': 0.30350160820197003, 'spikiness': 6.168550767215482e-08, 'peak': 2, 'trough': 1, 'level_shift_idx': 6, 'level_shift_size': 0.032196969696969724, 'y_acf1': 0.5547035025355526, 'y_acf5': 1.0406506651119924, 'diff1y_acf1': -0.44632794186417907, 'diff1y_acf5': 0.20467280820087635, 'diff2y_acf1': -0.6504669981231979, 'diff2y_acf5': 0.45859081629096654, 'y_pacf5': 0.4387760061488279, 'diff1y_pacf5': 0.34965825048775645, 'diff2y_pacf5': 1.1248803881785994, 'seas_acf1': 0.23962990820921196, 'seas_pacf1': -0.0654466664002391, 'firstmin_ac': 7, 'firstzero_ac': 23, 'holt_alpha': 0.08357644150501521, 'holt_beta': 0.0835764378722035, 'hw_alpha': 0.10526315789473684, 'hw_beta': 0.10526315789473684, 'hw_gamma': 0.15789473684210525}",arima,RandomSearch,mape,N1422
"{'arima': ({'p': 2, 'd': 1, 'q': 3}, 0.5383354100791069), 'holtwinters': ({'seasonal_periods': 24, 'trend': 'additive', 'damped': False, 'seasonal': 'multiplicative'}, 0.37182568583582354), 'prophet': ({'seasonality_prior_scale': 2.154434690031882, 'changepoint_prior_scale': 0.46415888336127775, 'changepoint_range': 0.9400000000000002, 'yearly_seasonality': False, 'weekly_seasonality': True, 'daily_seasonality': False, 'seasonality_mode': 'multiplicative'}, 0.4017122733875275), 'theta': ({'m': 24}, 0.5035032046737901), 'stlf': ({'m': 14, 'method': 'prophet'}, 0.4286697066349969), 'sarima': ({'p': 4, 'd': 1, 'q': 4, 'seasonal_order': '(1, 0, 1, 7)', 'trend': 'c'}, 0.45024181380876727)}","{'length': 69, 'mean': 0.3285337850555242, 'var': 0.03880498805989194, 'entropy': 0.6510241394798877, 'lumpiness': 0.00017808958873248893, 'stability': 0.01586603825346916, 'flat_spots': 2, 'hurst': 0.05096269276940415, 'std1st_der': 0.09855178775931789, 'crossing_points': 23, 'binarize_mean': 0.42028985507246375, 'unitroot_kpss': 0.14901543351566687, 'heterogeneity': 25.902390129812055, 'histogram_mode': 0.2311688311688312, 'linearity': 0.3431420988130394, 'trend_strength': 0.7634587927517617, 'seasonality_strength': 0.4865411991531524, 'spikiness': 2.0783222019671688e-08, 'peak': 2, 'trough': 3, 'level_shift_idx': 20, 'level_shift_size': 0.04805194805194807, 'y_acf1': 0.46846651264512224, 'y_acf5': 1.0359203663639527, 'diff1y_acf1': -0.5324045597186926, 'diff1y_acf5': 0.40810450444730567, 'diff2y_acf1': -0.6858324234222042, 'diff2y_acf5': 0.6303326289121777, 'y_pacf5': 0.5669980308067041, 'diff1y_pacf5': 0.5747421608876314, 'diff2y_pacf5': 1.8834539594440778, 'seas_acf1': 0.31021563717450207, 'seas_pacf1': 0.12231403596020644, 'firstmin_ac': 1, 'firstzero_ac': 21, 'holt_alpha': 0.2612010345028601, 'holt_beta': 0.0, 'hw_alpha': 0.32290157331867986, 'hw_beta': 9.397244237798782e-13, 'hw_gamma': 1.8794488475597564e-12}",holtwinters,RandomSearch,mape,N1423
"{'arima': ({'p': 4, 'd': 2, 'q': 2}, 0.19530910974766316), 'holtwinters': ({'seasonal_periods': 10, 'trend': 'multiplicative', 'damped': False, 'seasonal': 'additive'}, 0.17044798456715668), 'prophet': ({'seasonality_prior_scale': 10.0, 'changepoint_prior_scale': 1.0, 'changepoint_range': 0.8400000000000001, 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': True, 'seasonality_mode': 'multiplicative'}, 0.19191119046455354), 'theta': ({'m': 24}, 0.19435241115390992), 'stlf': ({'m': 7, 'method': 'quadratic'}, 0.14158350765028516), 'sarima': ({'p': 4, 'd': 2, 'q': 5, 'seasonal_order': '(1, 0, 2, 7)', 'trend': 'n'}, 0.1637640433376562)}","{'length': 69, 'mean': 0.5104526430177634, 'var': 0.01763484603330215, 'entropy': 0.7751554651342792, 'lumpiness': 5.2603837907705416e-05, 'stability': 0.0073476995210465705, 'flat_spots': 1, 'hurst': -0.01838865887360253, 'std1st_der': 0.07280442007579416, 'crossing_points': 22, 'binarize_mean': 0.4057971014492754, 'unitroot_kpss': 0.17058489623699288, 'heterogeneity': 21.098228770286134, 'histogram_mode': 0.42449888641425393, 'linearity': 0.42711706929508664, 'trend_strength': 0.7611244753362343, 'seasonality_strength': 0.5939656653277737, 'spikiness': 6.934139026070689e-09, 'peak': 6, 'trough': 3, 'level_shift_idx': 6, 'level_shift_size': 0.021789161098737964, 'y_acf1': 0.49164480576321007, 'y_acf5': 0.6895712798554338, 'diff1y_acf1': -0.35616792589498336, 'diff1y_acf5': 0.19620526425037874, 'diff2y_acf1': -0.5670437491488552, 'diff2y_acf5': 0.40496947762261226, 'y_pacf5': 0.3728427720195872, 'diff1y_pacf5': 0.4061770812509361, 'diff2y_pacf5': 0.9501411525097354, 'seas_acf1': 0.3609509865566589, 'seas_pacf1': 0.14454260006228853, 'firstmin_ac': 2, 'firstzero_ac': 22, 'holt_alpha': 0.21052631578947367, 'holt_beta': 0.21052631578947367, 'hw_alpha': 0.10526315789473684, 'hw_beta': 0.10526315789473684, 'hw_gamma': 0.3684210526315789}",stlf,RandomSearch,mape,N1424
